round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,1.940487,0.578326,0.578326,0.578326,0.578326,0.229859,0.241764,0.222074,0.399505,0.578326,0.461426
2,1.214416,0.613964,0.613964,0.613964,0.613964,0.282644,0.292232,0.26883,0.485744,0.613964,0.504558
3,0.952242,0.91305,0.91305,0.91305,0.91305,0.491769,0.43787,0.442883,0.913307,0.91305,0.902651
4,0.974556,0.571073,0.571073,0.571073,0.571073,0.370712,0.330135,0.23498,0.525825,0.571073,0.444289
5,1.115314,0.568712,0.568712,0.568712,0.568712,0.36564,0.30933,0.2224,0.512034,0.568712,0.437129
6,1.019238,0.554425,0.554425,0.554425,0.554425,0.302547,0.197177,0.152096,0.469892,0.554425,0.425468
7,1.220852,0.549391,0.549391,0.549391,0.549391,0.295129,0.210473,0.152886,0.427979,0.549391,0.407844
8,1.022422,0.556528,0.556528,0.556528,0.556528,0.354404,0.203765,0.159421,0.562038,0.556528,0.423029
9,0.978362,0.559841,0.559841,0.559841,0.559841,0.33688,0.207846,0.170193,0.526127,0.559841,0.430263
10,1.045756,0.558646,0.558646,0.558646,0.558646,0.352941,0.206746,0.166421,0.559039,0.558646,0.426787
11,0.970329,0.558233,0.558233,0.558233,0.558233,0.317417,0.202715,0.162947,0.490086,0.558233,0.430276
12,1.172744,0.550102,0.550102,0.550102,0.550102,0.288146,0.197177,0.150544,0.424551,0.550102,0.406502
13,1.083922,0.550255,0.550255,0.550255,0.550255,0.282464,0.190504,0.148083,0.424079,0.550255,0.412533
14,1.056453,0.552971,0.552971,0.552971,0.552971,0.310525,0.197995,0.155339,0.472678,0.552971,0.413596
15,0.946275,0.5592,0.5592,0.5592,0.5592,0.322626,0.190147,0.152436,0.509248,0.5592,0.432697
16,1.040523,0.55151,0.55151,0.55151,0.55151,0.288382,0.184682,0.146925,0.443681,0.55151,0.413325
17,1.058702,0.548726,0.548726,0.548726,0.548726,0.275918,0.178692,0.138395,0.414619,0.548726,0.404395
18,0.921697,0.563481,0.563481,0.563481,0.563481,0.324216,0.189624,0.159447,0.521891,0.563481,0.442163
19,1.012427,0.551447,0.551447,0.551447,0.551447,0.290945,0.185911,0.146648,0.443469,0.551447,0.411477
20,1.047872,0.550553,0.550553,0.550553,0.550553,0.278025,0.187611,0.147665,0.415006,0.550553,0.412185
21,0.998707,0.551371,0.551371,0.551371,0.551371,0.288841,0.182236,0.143178,0.440092,0.551371,0.414749
22,1.016011,0.549008,0.549008,0.549008,0.549008,0.27797,0.178632,0.138848,0.422114,0.549008,0.411057
23,0.983331,0.553283,0.553283,0.553283,0.553283,0.296304,0.184475,0.145414,0.45738,0.553283,0.418971
24,1.067432,0.549358,0.549358,0.549358,0.549358,0.28312,0.188977,0.142461,0.420011,0.549358,0.404301
25,0.844371,0.589972,0.589972,0.589972,0.589972,0.373434,0.197141,0.171067,0.623661,0.589972,0.490653
26,0.974026,0.556401,0.556401,0.556401,0.556401,0.311318,0.195052,0.153266,0.480993,0.556401,0.424894
27,1.054282,0.549103,0.549103,0.549103,0.549103,0.29259,0.193826,0.140422,0.439915,0.549103,0.405166
28,1.036545,0.549271,0.549271,0.549271,0.549271,0.293162,0.196133,0.141823,0.452719,0.549271,0.405537
29,1.054749,0.549427,0.549427,0.549427,0.549427,0.289903,0.198042,0.142597,0.438323,0.549427,0.407158
30,0.95565,0.55198,0.55198,0.55198,0.55198,0.326064,0.195546,0.144949,0.508901,0.55198,0.411414
