true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed,speed-accessory,standstill
Benign,30549475,0,0,0,0,0,0,0,0,53,11151064
DoS,69437,0,0,0,0,0,0,0,0,0,75692
double,8193,0,0,0,0,0,0,0,0,0,4220
force-neutral,1397,0,0,0,0,0,0,0,0,0,4347
fuzzing,57881,0,0,0,0,0,0,0,0,0,9440
interval,34731,0,0,0,0,0,0,0,0,0,5811
rpm,4527,0,0,0,0,0,0,0,0,0,516
rpm-accessory,3126,0,0,0,0,0,0,0,0,0,20
speed,6264,0,0,0,0,0,0,0,0,0,1207
speed-accessory,490,0,0,0,0,0,0,0,0,0,1767
standstill,3297,0,0,0,0,0,0,0,0,0,2442
