round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
61,0.934488,0.570927,0.570927,0.570927,0.570927,0.110598,0.096687,0.081163,0.987412,0.570927,0.723137
62,0.55925,0.990157,0.990157,0.990157,0.990157,0.11657,0.110822,0.110657,0.986455,0.990157,0.988259
63,0.596784,0.970488,0.970488,0.970488,0.970488,0.110335,0.108574,0.109447,0.986228,0.970488,0.978295
64,0.643705,0.986481,0.986481,0.986481,0.986481,0.110347,0.110363,0.110355,0.986339,0.986481,0.98641
65,0.704404,0.993169,0.993169,0.993169,0.993169,0.110352,0.111111,0.11073,0.986385,0.993169,0.989765
66,0.867872,0.993169,0.993169,0.993169,0.993169,0.110352,0.111111,0.11073,0.986385,0.993169,0.989765
67,0.905303,0.84782,0.84782,0.84782,0.84782,0.110328,0.101155,0.102016,0.986097,0.84782,0.91174
68,1.097652,0.355772,0.355772,0.355772,0.355772,0.110831,0.136321,0.058601,0.99043,0.355772,0.523331
69,1.248573,0.222184,0.222184,0.222184,0.222184,0.110963,0.13571,0.040638,0.991619,0.222184,0.36279
70,1.570133,0.011572,0.011572,0.011572,0.011572,0.111129,0.112386,0.002561,0.993151,0.011572,0.022531
71,1.783328,0.024206,0.024206,0.024206,0.024206,0.111129,0.113799,0.00529,0.993148,0.024206,0.046921
72,1.789087,0.02879,0.02879,0.02879,0.02879,0.111121,0.114312,0.006263,0.993077,0.02879,0.055621
73,1.935977,0.017186,0.017186,0.017186,0.017186,0.11113,0.113014,0.003782,0.993159,0.017186,0.033443
74,1.715061,0.009363,0.009363,0.009363,0.009363,0.108605,0.112139,0.002076,0.970593,0.009363,0.018197
75,1.638746,0.026357,0.026357,0.026357,0.026357,0.107766,0.113832,0.005743,0.963086,0.026357,0.050973
76,1.568092,0.100006,0.100006,0.100006,0.100006,0.10927,0.120867,0.020309,0.976515,0.100006,0.181142
77,1.388981,0.303403,0.303403,0.303403,0.303403,0.110223,0.126715,0.051928,0.985016,0.303403,0.463738
78,1.261502,0.38528,0.38528,0.38528,0.38528,0.110269,0.132069,0.062011,0.985409,0.38528,0.55382
79,1.103339,0.511716,0.511716,0.511716,0.511716,0.110329,0.112251,0.075409,0.985999,0.511716,0.673686
80,1.075235,0.517019,0.517019,0.517019,0.517019,0.110339,0.118004,0.075927,0.986068,0.517019,0.678275
81,1.226268,0.367899,0.367899,0.367899,0.367899,0.110247,0.13054,0.05997,0.985217,0.367899,0.53559
82,1.232914,0.393305,0.393305,0.393305,0.393305,0.11018,0.130974,0.062919,0.984615,0.393305,0.561943
83,1.195912,0.336903,0.336903,0.336903,0.336903,0.110278,0.129645,0.056209,0.985502,0.336903,0.501981
84,1.313948,0.01178,0.01178,0.01178,0.01178,0.109,0.112409,0.002605,0.97412,0.01178,0.022931
85,1.517444,0.021138,0.021138,0.021138,0.021138,0.104759,0.112921,0.004627,0.936208,0.021138,0.041003
86,1.650838,0.051061,0.051061,0.051061,0.051061,0.107539,0.114767,0.010854,0.961057,0.051061,0.096656
87,1.65265,0.18773,0.18773,0.18773,0.18773,0.109814,0.114146,0.035277,0.981394,0.18773,0.31496
88,1.747389,0.101476,0.101476,0.101476,0.101476,0.108965,0.104556,0.020572,0.973823,0.101476,0.183555
89,1.766342,0.055257,0.055257,0.055257,0.055257,0.1077,0.112396,0.011699,0.962503,0.055257,0.10421
90,1.577784,0.231529,0.231529,0.231529,0.231529,0.10998,0.119046,0.041949,0.982867,0.231529,0.374579
