true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed,speed-accessory,standstill
Benign,12666893,0,0,0,0,0,0,0,0,0,29033699
DoS,75692,0,0,0,0,0,0,0,0,0,69437
double,4357,0,0,0,0,0,0,0,0,0,8056
force-neutral,4567,0,0,0,0,0,0,0,0,0,1177
fuzzing,13553,0,0,0,0,0,0,0,0,0,53768
interval,5782,0,0,0,0,0,0,0,0,0,34760
rpm,1074,0,0,0,0,0,0,0,0,0,3969
rpm-accessory,20,0,0,0,0,0,0,0,0,0,3126
speed,1207,0,0,0,0,0,0,0,0,0,6264
speed-accessory,1767,0,0,0,0,0,0,0,0,0,490
standstill,2391,0,0,0,0,0,0,0,0,0,3348
