round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
61,1.505843,0.399071,0.399071,0.399071,0.399071,0.11044,0.086884,0.063725,0.986157,0.399071,0.567589
62,1.514253,0.097864,0.097864,0.097864,0.097864,0.111069,0.108856,0.020014,0.991237,0.097864,0.175798
63,1.362148,0.078742,0.078742,0.078742,0.078742,0.111131,0.112034,0.016394,0.991742,0.078742,0.14334
64,1.13492,0.083506,0.083506,0.083506,0.083506,0.11107,0.109219,0.017307,0.991242,0.083506,0.151581
65,0.986916,0.376209,0.376209,0.376209,0.376209,0.110498,0.086541,0.061094,0.986663,0.376209,0.544048
66,0.894042,0.672911,0.672911,0.672911,0.672911,0.110527,0.09922,0.089732,0.986889,0.672911,0.799961
67,0.907493,0.893397,0.893397,0.893397,0.893397,0.110608,0.111116,0.105268,0.98709,0.893397,0.937824
68,1.218453,0.359116,0.359116,0.359116,0.359116,0.110634,0.133263,0.059272,0.987136,0.359116,0.526313
69,1.260183,0.433964,0.433964,0.433964,0.433964,0.11022,0.131775,0.067441,0.984969,0.433964,0.602354
70,1.312538,0.413187,0.413187,0.413187,0.413187,0.110246,0.129585,0.06517,0.98521,0.413187,0.582071
71,1.428106,0.341698,0.341698,0.341698,0.341698,0.110294,0.131371,0.056805,0.985636,0.341698,0.507304
72,1.554421,0.072345,0.072345,0.072345,0.072345,0.110596,0.123157,0.015289,0.987171,0.072345,0.133876
73,1.717232,0.211639,0.211639,0.211639,0.211639,0.109993,0.116821,0.038985,0.982985,0.211639,0.348088
74,1.591131,0.284458,0.284458,0.284458,0.284458,0.110722,0.133854,0.049836,0.987605,0.284458,0.441366
75,1.598035,0.131683,0.131683,0.131683,0.131683,0.11085,0.128442,0.026228,0.989468,0.131683,0.231715
76,1.559789,0.355786,0.355786,0.355786,0.355786,0.110502,0.136185,0.058794,0.986271,0.355786,0.522722
77,1.434817,0.438593,0.438593,0.438593,0.438593,0.110351,0.135921,0.067965,0.986124,0.438593,0.607015
78,1.357041,0.524701,0.524701,0.524701,0.524701,0.110344,0.139384,0.076675,0.986037,0.524701,0.68482
79,1.285809,0.515528,0.515528,0.515528,0.515528,0.110337,0.138447,0.075793,0.985985,0.515528,0.676943
80,1.338886,0.487421,0.487421,0.487421,0.487421,0.110353,0.138172,0.073031,0.986128,0.487421,0.652263
81,1.460244,0.448595,0.448595,0.448595,0.448595,0.110344,0.136222,0.069029,0.986064,0.448595,0.616522
82,1.471311,0.395152,0.395152,0.395152,0.395152,0.110345,0.133173,0.063157,0.986087,0.395152,0.564064
83,1.546045,0.395697,0.395697,0.395697,0.395697,0.110341,0.133204,0.063219,0.986049,0.395697,0.564614
84,1.530456,0.401146,0.401146,0.401146,0.401146,0.110335,0.133115,0.063837,0.986,0.401146,0.570136
85,1.614197,0.354248,0.354248,0.354248,0.354248,0.110315,0.132775,0.058343,0.985823,0.354248,0.521044
86,1.61507,0.36379,0.36379,0.36379,0.36379,0.11033,0.133843,0.059494,0.98595,0.36379,0.531319
87,1.502822,0.411317,0.411317,0.411317,0.411317,0.11034,0.133807,0.06498,0.986041,0.411317,0.580349
88,1.643051,0.354169,0.354169,0.354169,0.354169,0.110316,0.132766,0.058334,0.985835,0.354169,0.520959
89,1.538944,0.358107,0.358107,0.358107,0.358107,0.110327,0.133207,0.058811,0.985927,0.358107,0.525225
90,1.555978,0.353449,0.353449,0.353449,0.353449,0.110322,0.132686,0.058248,0.985887,0.353449,0.520187
