round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
122,2.026882,0.020681,0.020681,0.020681,0.020681,0.076703,0.078517,0.003144,0.988748,0.020681,0.040252
123,1.34869,0.144305,0.144305,0.144305,0.144305,0.075947,0.060873,0.019516,0.979039,0.144305,0.251401
124,1.532154,0.441139,0.441139,0.441139,0.441139,0.076315,0.078188,0.047263,0.98374,0.441139,0.609053
125,1.560396,0.527981,0.527981,0.527981,0.527981,0.07631,0.084924,0.053318,0.983649,0.527981,0.68707
126,1.507775,0.99172,0.99172,0.99172,0.99172,0.076286,0.076923,0.076603,0.983512,0.99172,0.987599
127,1.289941,0.991722,0.991722,0.991722,0.991722,0.076286,0.076923,0.076603,0.983512,0.991722,0.9876
128,1.348631,0.991722,0.991722,0.991722,0.991722,0.076286,0.076923,0.076603,0.983512,0.991722,0.9876
129,1.144951,0.991722,0.991722,0.991722,0.991722,0.076286,0.076923,0.076603,0.983512,0.991722,0.9876
130,0.803073,0.991722,0.991722,0.991722,0.991722,0.076286,0.076923,0.076603,0.983512,0.991722,0.9876
131,0.795628,0.991722,0.991722,0.991722,0.991722,0.076286,0.076923,0.076603,0.983512,0.991722,0.9876
132,1.161461,0.315722,0.315722,0.315722,0.315722,0.076595,0.073385,0.037175,0.986759,0.315722,0.4778
133,1.823137,0.0777,0.0777,0.0777,0.0777,0.076604,0.082422,0.0112,0.98676,0.0777,0.142695
134,2.777072,0.000797,0.000797,0.000797,0.000797,6.1e-05,0.076923,0.000122,1e-06,0.000797,1e-06
135,2.083647,0.155227,0.155227,0.155227,0.155227,0.076658,0.08718,0.02086,0.987397,0.155227,0.267116
136,2.294737,0.102337,0.102337,0.102337,0.102337,0.076645,0.083294,0.014419,0.987275,0.102337,0.184169
137,2.232402,0.071712,0.071712,0.071712,0.071712,0.076583,0.080918,0.010395,0.986502,0.071712,0.132348
138,2.389123,0.006429,0.006429,0.006429,0.006429,0.07689,0.07736,0.000992,0.990501,0.006429,0.011203
139,2.197368,0.029346,0.029346,0.029346,0.029346,0.07676,0.079138,0.004431,0.988813,0.029346,0.055498
140,1.873364,0.170071,0.170071,0.170071,0.170071,0.076597,0.075654,0.022551,0.986741,0.170071,0.289193
141,1.338713,0.520407,0.520407,0.520407,0.520407,0.076652,0.082648,0.053083,0.986543,0.520407,0.681027
142,1.382829,0.439257,0.439257,0.439257,0.439257,0.076664,0.085634,0.047276,0.987303,0.439257,0.607497
143,1.076885,0.687084,0.687084,0.687084,0.687084,0.076556,0.081991,0.062982,0.985751,0.687084,0.809551
144,0.962459,0.817791,0.817791,0.817791,0.817791,0.076502,0.079577,0.069543,0.984659,0.817791,0.893405
145,0.895601,0.882465,0.882465,0.882465,0.882465,0.076422,0.071858,0.072309,0.984443,0.882465,0.930652
146,0.825727,0.969221,0.969221,0.969221,0.969221,0.076364,0.075448,0.075799,0.984185,0.969221,0.976645
147,0.93228,0.858263,0.858263,0.858263,0.858263,0.076447,0.07384,0.071264,0.984749,0.858263,0.917125
148,0.940243,0.820997,0.820997,0.820997,0.820997,0.07645,0.078406,0.069592,0.984683,0.820997,0.895332
149,0.972031,0.777355,0.777355,0.777355,0.777355,0.07642,0.077202,0.067506,0.98438,0.777355,0.868595
