true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0,0,0,0,0,0,1645,1,928,2157651,0,0
class_1,0,0,0,0,0,0,256366,2385,11012,52947,2,6268
class_2,0,0,0,0,0,0,605,0,83,853,0,16
class_3,0,0,0,0,0,0,1058,0,326,1346529,0,0
class_4,0,0,0,0,0,0,21555,50,770,17553,0,91
class_5,0,0,0,0,0,0,9626,7,350,75272,0,3
class_6,0,0,0,0,0,0,2213,1,843,5551,0,0
class_7,0,0,0,0,0,0,411,0,44,457,0,5
class_8,0,0,0,0,0,0,4333,0,230065,761371,0,0
class_9,0,0,0,0,0,0,1095,0,421,1214060,0,0
class_10,0,0,0,0,0,0,2587,19,1257,132560,0,2
class_11,0,0,0,0,0,0,15642,177,994,11966,3,395
