true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000761,0.000000,0.000430,0.998808,0.000000,0.000000
class_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.779275,0.007250,0.033473,0.160943,0.000006,0.019053
class_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388568,0.000000,0.053308,0.547848,0.000000,0.010276
class_3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000785,0.000000,0.000242,0.998973,0.000000,0.000000
class_4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.538619,0.001249,0.019241,0.438617,0.000000,0.002274
class_5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112904,0.000082,0.004105,0.882873,0.000000,0.000035
class_6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.257086,0.000116,0.097932,0.644865,0.000000,0.000000
class_7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.448201,0.000000,0.047983,0.498364,0.000000,0.005453
class_8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004351,0.000000,0.231043,0.764606,0.000000,0.000000
class_9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000901,0.000000,0.000346,0.998753,0.000000,0.000000
class_10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018963,0.000139,0.009214,0.971669,0.000000,0.000015
class_11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536107,0.006066,0.034068,0.410118,0.000103,0.013538
