true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17
class_0,0,0,0,0,0,0,0,0,0,0,0,0,11027,329,0,2148869,0,0
class_1,0,0,0,0,0,0,0,0,0,0,0,0,269539,3763,179,40572,2,14925
class_2,0,0,0,0,0,0,0,0,0,0,0,0,869,39,0,590,0,59
class_3,0,0,0,0,0,0,0,0,0,0,0,0,4631,962,0,1342319,0,1
class_4,0,0,0,0,0,0,0,0,0,0,0,0,21127,527,15,14792,0,3558
class_5,0,0,0,0,0,0,0,0,0,0,0,0,59368,25443,0,404,0,43
class_6,0,0,0,0,0,0,0,0,0,0,0,0,4183,3195,0,1230,0,0
class_7,0,0,0,0,0,0,0,0,0,0,0,0,536,15,1,334,0,31
class_8,0,0,0,0,0,0,0,0,0,0,0,0,4750,223,0,990795,0,1
class_9,0,0,0,0,0,0,0,0,0,0,0,0,2736,139233,0,1073605,0,2
class_10,0,0,0,0,0,0,0,0,0,0,0,0,134231,1215,0,966,0,13
class_11,0,0,0,0,0,0,0,0,0,0,0,0,18308,886,9,8025,0,1949
class_12,0,0,0,0,0,0,0,0,0,0,0,0,4571,1596,0,857,1,1
class_13,0,0,0,0,0,0,0,0,0,0,0,0,4974,3784,0,793648,0,0
class_14,0,0,0,0,0,0,0,0,0,0,0,0,293823,2739,0,1561,0,3
class_15,0,0,0,0,0,0,0,0,0,0,0,0,90211,7821,0,1129425,0,0
class_16,0,0,0,0,0,0,0,0,0,0,0,0,104965,36,0,1108385,2,218
class_17,0,0,0,0,0,0,0,0,0,0,0,0,12929,1008,8,8821,0,1682
