true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23
class_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2159066,201,0,908,0
class_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19715,122730,156874,6,28524,1131
class_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1235,137,0,21,1
class_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1347189,50,0,651,0
class_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,32578,4785,0,588,25
class_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,64533,208,0,20018,0
class_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401,6950,7,0,250,0
class_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,675,155,0,16,9
class_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,994796,35,0,888,0
class_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1214870,22,0,605,0
class_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,128726,83,0,7573,0
class_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,18997,6151,0,1852,163
class_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,4807,53,0,2057,0
class_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,800959,97,0,1110,0
class_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,297377,154,0,575,0
class_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1227051,54,0,336,0
class_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1209967,1595,0,1941,0
class_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,18485,3501,1,1050,85
class_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,920,530,0,82,9
class_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1622549,54,0,753,0
class_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,934,585,0,161,23
class_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3705,31817,14266,0,3400,426
class_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,9018,291,0,1817,0
class_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3141,40011,42887,2,4653,1408
