round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,2.209112,0.345782,0.345782,0.345782,0.345782,0.130762,0.099944,0.055617,0.211589,0.345782,0.189181
32,1.971694,0.533466,0.533466,0.533466,0.533466,0.237901,0.181764,0.138183,0.635278,0.533466,0.408718
33,2.436019,0.233681,0.233681,0.233681,0.233681,0.043803,0.106356,0.055422,0.090045,0.233681,0.11671
34,2.693539,0.301716,0.301716,0.301716,0.301716,0.061006,0.145361,0.083869,0.122331,0.301716,0.16977
35,2.850622,0.153885,0.153885,0.153885,0.153885,0.030254,0.088059,0.04498,0.05284,0.153885,0.078651
36,2.965866,0.266931,0.266931,0.266931,0.266931,0.053708,0.137767,0.076481,0.103436,0.266931,0.147815
37,3.130975,0.159164,0.159164,0.159164,0.159164,0.047616,0.09564,0.028635,0.09783,0.159164,0.047227
38,3.246859,0.335447,0.335447,0.335447,0.335447,0.077172,0.17012,0.101442,0.147923,0.335447,0.196363
39,3.38766,0.335147,0.335147,0.335147,0.335147,0.079411,0.170718,0.10317,0.151438,0.335147,0.198534
40,3.551782,0.334368,0.334368,0.334368,0.334368,0.080199,0.167977,0.103016,0.152078,0.334368,0.198788
41,3.774546,0.270988,0.270988,0.270988,0.270988,0.069022,0.133257,0.080456,0.130651,0.270988,0.156511
42,3.751901,0.268105,0.268105,0.268105,0.268105,0.068859,0.129959,0.078716,0.130261,0.268105,0.154481
43,3.890324,0.23887,0.23887,0.23887,0.23887,0.074781,0.114843,0.068121,0.140955,0.23887,0.133394
44,4.056935,0.244556,0.244556,0.244556,0.244556,0.070489,0.118907,0.069286,0.132918,0.244556,0.137408
45,4.109302,0.248482,0.248482,0.248482,0.248482,0.081608,0.119191,0.073621,0.154174,0.248482,0.144832
46,4.281127,0.239549,0.239549,0.239549,0.239549,0.077224,0.115444,0.066973,0.145866,0.239549,0.13404
47,4.142822,0.261912,0.261912,0.261912,0.261912,0.086459,0.125987,0.080192,0.163281,0.261912,0.158627
48,4.267479,0.242381,0.242381,0.242381,0.242381,0.087633,0.11639,0.070245,0.165424,0.242381,0.140037
49,4.42023,0.235357,0.235357,0.235357,0.235357,0.093795,0.114479,0.067634,0.176333,0.235357,0.133334
50,4.472855,0.242122,0.242122,0.242122,0.242122,0.093555,0.120708,0.072112,0.175749,0.242122,0.141206
51,4.562089,0.229902,0.229902,0.229902,0.229902,0.096832,0.114989,0.063664,0.181863,0.229902,0.126967
52,4.516264,0.232383,0.232383,0.232383,0.232383,0.094195,0.118901,0.065421,0.176786,0.232383,0.129826
53,4.561477,0.232547,0.232547,0.232547,0.232547,0.098074,0.114307,0.065599,0.180588,0.232547,0.130254
54,4.504343,0.237733,0.237733,0.237733,0.237733,0.094624,0.128245,0.070361,0.176777,0.237733,0.137121
55,4.741831,0.231423,0.231423,0.231423,0.231423,0.095286,0.11381,0.064363,0.178902,0.231423,0.128631
56,4.803659,0.232077,0.232077,0.232077,0.232077,0.095494,0.126759,0.065796,0.178393,0.232077,0.129778
57,4.823203,0.23717,0.23717,0.23717,0.23717,0.108767,0.133266,0.06882,0.184926,0.23717,0.136513
58,4.556851,0.241889,0.241889,0.241889,0.241889,0.098376,0.139874,0.071974,0.181583,0.241889,0.142774
59,4.725104,0.234341,0.234341,0.234341,0.234341,0.101351,0.133226,0.068121,0.187709,0.234341,0.133474
60,4.869727,0.227817,0.227817,0.227817,0.227817,0.100541,0.125035,0.062753,0.186503,0.227817,0.124641
